publishedAt,title,viewCount
2021-09-19T11:33:54Z,ミニアニメ「BanG Dream! ガルパ☆ピコ ふぃーばー！」2021年10月7日(木)配信開始！,96935
2021-09-19T07:30:52Z,『キズナミュージック♪』Poppin'Party(難易度：SPECIAL)【ガルパ プレイ動画】,59244
2021-09-19T03:05:08Z,『KING』Roselia(難易度：EXPERT)【ガルパ プレイ動画】,224467
2021-09-18T11:43:05Z,第3回ガルパ杯【バンドリ！ ガールズバンドパーティ！】,356017
2021-09-18T10:48:52Z,『HELL! or HELL?』RAISE A SUILEN(難易度：SPECIAL)【ガルパ プレイ動画】,139921
2021-09-17T06:37:17Z,バンドリ！TV LIVE 2021 #84 ～ガルパSwitch発売記念2時間SP～ & バンステ！2021 #11,132365
2021-09-15T10:00:10Z,【試聴動画】Morfonica3rd Single「ハーモニー・デイ」（2021/10/6 発売‼︎）,30287
2021-09-15T09:00:06Z,Roselia「R」Chronicle movie,164100
2021-09-15T08:00:25Z,バンドリ！ボーカルキャストがガルパSwitchで遊んでみた！,75028
2021-09-15T08:00:12Z,バンドリ！ガールズバンドパーティ！presents モニカラジオ #74,11328
2021-09-15T03:34:19Z,誕生日記念ガチャ限定 二葉つくし #Shorts,19974
2021-09-13T10:00:05Z,【CM】RAISE A SUILEN 8th Single「Domination to world」,20636
2021-09-13T09:00:07Z,RAISE A SUILEN「!NVADE SHOW!」Chronicle movie,122258
2021-09-10T09:00:03Z,ぽぴばん！#13「ポピパの夏休み」～スイカ割りをしよう！～,34309
2021-09-10T02:50:58Z,バンドリ！TV LIVE 2021 #83 & バンステ！2021 #10,58777
2021-09-09T03:00:48Z,『ン・パカマーチ』ハロー、ハッピーワールド！(難易度：EXPERT)【ガルパ プレイ動画】,50904
2021-09-08T09:00:14Z,Morfonica「Daylight -デイライト- 」Chronicle movie,118179
2021-09-08T08:00:14Z,バンドリ！ガールズバンドパーティ！presents モニカラジオ #73,11382
2021-09-06T10:00:11Z,【試聴動画】RAISE A SUILEN 8th Single「Domination to world（2021/9/29 発売‼︎）,57313
2021-09-06T09:00:20Z,Poppin’Party「STAR BEAT!～ホシノコドウ～」Chronicle movie,76934
2021-09-06T00:27:40Z,バンドリ！TV LIVE 2021 #82 & バンステ！2021 #9,44322
2021-09-03T03:10:55Z,誕生日記念ガチャ限定 青葉モカ #shorts,29115
2021-09-02T13:46:12Z,『競宴Red×Violet』Roselia×Afterglow(難易度：EXPERT)【ガルパ プレイ動画】,61882
2021-09-01T08:01:32Z,バンドリ！ガールズバンドパーティ！presents モニカラジオ #72,11618
