id,name,date,artists,lyricists,composers,arrangers,discs,events
172,“MY LIST” to you!,2017年11月15日,Aqours,畑 亜貴,原 知也,ラムシーニ,"{178, 118}","[{'event': '114', 'concert': '156', 'performance': '246'}, {'event': '114', 'concert': '156', 'performance': '245'}, {'event': '109', 'concert': '149', 'performance': '234'}, {'event': '109', 'concert': '149', 'performance': '233'}, {'event': '30', 'concert': '55', 'performance': '102'}, {'event': '28', 'concert': '53', 'performance': '98'}, {'event': '18', 'concert': '30', 'performance': '51'}, {'event': '18', 'concert': '30', 'performance': '50'}, {'event': '18', 'concert': '28', 'performance': '48'}, {'event': '18', 'concert': '28', 'performance': '47'}, {'event': '18', 'concert': '27', 'performance': '46'}, {'event': '18', 'concert': '27', 'performance': '45'}]"
173,MY舞☆TONIGHT,2017年11月29日,Aqours,畑 亜貴,EFFY(FirstCall),EFFY(FirstCall),"{178, 119}","[{'event': '115', 'concert': '157', 'performance': '248'}, {'event': '115', 'concert': '157', 'performance': '247'}, {'event': '114', 'concert': '156', 'performance': '246'}, {'event': '114', 'concert': '156', 'performance': '245'}, {'event': '45', 'concert': '71', 'performance': '127'}, {'event': '39', 'concert': '64', 'performance': '113'}, {'event': '39', 'concert': '64', 'performance': '112'}, {'event': '55', 'concert': '81', 'performance': '137'}, {'event': '23', 'concert': '35', 'performance': '60'}, {'event': '23', 'concert': '35', 'performance': '59'}, {'event': '18', 'concert': '30', 'performance': '51'}, {'event': '18', 'concert': '30', 'performance': '50'}, {'event': '18', 'concert': '28', 'performance': '48'}, {'event': '18', 'concert': '28', 'performance': '47'}, {'event': '18', 'concert': '27', 'performance': '46'}, {'event': '18', 'concert': '27', 'performance': '45'}]"
174,MIRACLE WAVE,2017年11月29日,Aqours,畑 亜貴,酒井拓也（Arte Refact）,脇 眞富（Arte Refact）,"{178, 119}","[{'event': '18', 'concert': '30', 'performance': '51'}, {'event': '18', 'concert': '30', 'performance': '50'}, {'event': '18', 'concert': '28', 'performance': '48'}, {'event': '18', 'concert': '28', 'performance': '47'}, {'event': '18', 'concert': '27', 'performance': '46'}, {'event': '18', 'concert': '27', 'performance': '45'}]"
175,Awaken the power,2017年12月20日,Saint Aqours Snow,畑 亜貴,河田貴央,河田貴央,"{120, 178}","[{'event': '43', 'concert': '69', 'performance': '124'}, {'event': '43', 'concert': '69', 'performance': '123'}, {'event': '43', 'concert': '69', 'performance': '122'}, {'event': '43', 'concert': '68', 'performance': '121'}, {'event': '43', 'concert': '68', 'performance': '120'}, {'event': '43', 'concert': '68', 'performance': '119'}, {'event': '23', 'concert': '35', 'performance': '60'}, {'event': '23', 'concert': '35', 'performance': '59'}, {'event': '18', 'concert': '30', 'performance': '51'}, {'event': '18', 'concert': '30', 'performance': '50'}, {'event': '18', 'concert': '28', 'performance': '48'}, {'event': '18', 'concert': '28', 'performance': '47'}, {'event': '18', 'concert': '27', 'performance': '46'}, {'event': '18', 'concert': '27', 'performance': '45'}]"
176,CRASH MIND,2017年12月20日,Saint Snow,畑 亜貴,宮崎 誠,宮崎 誠,{120},"[{'event': '43', 'concert': '69', 'performance': '124'}, {'event': '43', 'concert': '69', 'performance': '123'}, {'event': '43', 'concert': '69', 'performance': '122'}, {'event': '43', 'concert': '68', 'performance': '121'}, {'event': '43', 'concert': '68', 'performance': '120'}, {'event': '43', 'concert': '68', 'performance': '119'}, {'event': '17', 'concert': '26', 'performance': '44'}, {'event': '17', 'concert': '26', 'performance': '43'}]"
177,DROPOUT!?,2017年12月20日,Saint Snow,畑 亜貴,馬渕直純,馬渕直純,{120},"[{'event': '43', 'concert': '69', 'performance': '124'}, {'event': '43', 'concert': '69', 'performance': '123'}, {'event': '43', 'concert': '69', 'performance': '122'}, {'event': '43', 'concert': '68', 'performance': '121'}, {'event': '43', 'concert': '68', 'performance': '120'}, {'event': '43', 'concert': '68', 'performance': '119'}, {'event': '18', 'concert': '30', 'performance': '51'}, {'event': '18', 'concert': '30', 'performance': '50'}, {'event': '17', 'concert': '26', 'performance': '44'}, {'event': '17', 'concert': '26', 'performance': '43'}]"
178,One More Sunshine Story,2017年12月22日,高海千歌,畑 亜貴,EFFY(FirstCall),EFFY(FirstCall),{140},"[{'event': '39', 'concert': '65', 'performance': '115'}, {'event': '39', 'concert': '65', 'performance': '114'}, {'event': '18', 'concert': '30', 'performance': '50'}, {'event': '18', 'concert': '28', 'performance': '47'}, {'event': '18', 'concert': '27', 'performance': '45'}]"
179,WATER BLUE NEW WORLD,2018年1月17日,Aqours,畑 亜貴,佐伯高志,佐伯高志,"{121, 178}","[{'event': '117', 'concert': '159', 'performance': '251'}, {'event': '39', 'concert': '64', 'performance': '113'}, {'event': '39', 'concert': '64', 'performance': '112'}, {'event': '38', 'concert': '63', 'performance': '111'}, {'event': '32', 'concert': '57', 'performance': '104'}, {'event': '23', 'concert': '35', 'performance': '60'}, {'event': '18', 'concert': '30', 'performance': '51'}, {'event': '18', 'concert': '30', 'performance': '50'}, {'event': '50', 'concert': '76', 'performance': '132'}, {'event': '18', 'concert': '28', 'performance': '48'}, {'event': '18', 'concert': '28', 'performance': '47'}, {'event': '18', 'concert': '27', 'performance': '46'}, {'event': '18', 'concert': '27', 'performance': '45'}]"
180,WONDERFUL STORIES,2018年1月17日,Aqours,畑 亜貴,Carlos K.,EFFY(FirstCall),"{121, 178}","[{'event': '32', 'concert': '57', 'performance': '104'}, {'event': '23', 'concert': '35', 'performance': '60'}, {'event': '23', 'concert': '35', 'performance': '59'}, {'event': '21', 'concert': '32', 'performance': '53'}, {'event': '18', 'concert': '30', 'performance': '51'}, {'event': '18', 'concert': '30', 'performance': '50'}, {'event': '18', 'concert': '28', 'performance': '48'}, {'event': '18', 'concert': '28', 'performance': '47'}, {'event': '18', 'concert': '27', 'performance': '46'}, {'event': '18', 'concert': '27', 'performance': '45'}]"
181,おやすみなさん！,2018年1月22日,国木田花丸,畑 亜貴,増田基生、白須賀悟,増田基生、白須賀悟,"{197, 141}","[{'event': '18', 'concert': '30', 'performance': '50'}, {'event': '18', 'concert': '28', 'performance': '47'}, {'event': '18', 'concert': '27', 'performance': '45'}]"
182,in this unstable world,2018年2月23日,津島善子,畑 亜貴,神谷 礼,神谷 礼,"{210, 142}","[{'event': '39', 'concert': '64', 'performance': '113'}, {'event': '39', 'concert': '64', 'performance': '112'}, {'event': '18', 'concert': '30', 'performance': '50'}, {'event': '18', 'concert': '28', 'performance': '47'}, {'event': '18', 'concert': '27', 'performance': '45'}]"
183,Pianoforte Monologue,2018年2月23日,桜内梨子,畑 亜貴,青木宏憲、廣澤優也,青木宏憲、廣澤優也,"{176, 142}","[{'event': '39', 'concert': '64', 'performance': '113'}, {'event': '39', 'concert': '64', 'performance': '112'}, {'event': '18', 'concert': '30', 'performance': '50'}, {'event': '18', 'concert': '28', 'performance': '47'}, {'event': '18', 'concert': '27', 'performance': '45'}]"
184,Beginner’s Sailing,2018年3月23日,渡辺 曜,畑 亜貴,酒井拓也（Arte Refact）,酒井拓也（Arte Refact）,"{200, 143}","[{'event': '39', 'concert': '65', 'performance': '115'}, {'event': '39', 'concert': '65', 'performance': '114'}, {'event': '18', 'concert': '30', 'performance': '51'}, {'event': '18', 'concert': '28', 'performance': '48'}, {'event': '18', 'concert': '27', 'performance': '46'}]"
185,RED GEM WINK,2018年4月24日,黒澤ルビィ,畑 亜貴,高田 暁,高田 暁,"{144, 177}","[{'event': '39', 'concert': '65', 'performance': '115'}, {'event': '39', 'concert': '65', 'performance': '114'}, {'event': '18', 'concert': '30', 'performance': '51'}, {'event': '18', 'concert': '28', 'performance': '48'}, {'event': '18', 'concert': '27', 'performance': '46'}]"
186,WHITE FIRST LOVE,2018年4月24日,黒澤ダイヤ,畑 亜貴,渡辺拓也,渡辺拓也,"{144, 188}","[{'event': '115', 'concert': '157', 'performance': '248'}, {'event': '18', 'concert': '30', 'performance': '51'}, {'event': '18', 'concert': '28', 'performance': '48'}, {'event': '18', 'concert': '27', 'performance': '46'}]"
187,New winding road,2018年5月25日,小原鞠莉,畑 亜貴,宮崎 誠,宮崎 誠,"{145, 209}","[{'event': '39', 'concert': '64', 'performance': '113'}, {'event': '39', 'concert': '64', 'performance': '112'}, {'event': '18', 'concert': '30', 'performance': '51'}, {'event': '18', 'concert': '28', 'performance': '48'}, {'event': '18', 'concert': '27', 'performance': '46'}]"
188,さかなかなんだか？,2018年5月25日,松浦果南,畑 亜貴,設楽哲也,設楽哲也,"{145, 193}","[{'event': '115', 'concert': '157', 'performance': '248'}, {'event': '18', 'concert': '30', 'performance': '51'}, {'event': '18', 'concert': '28', 'performance': '48'}, {'event': '18', 'concert': '27', 'performance': '46'}]"
189,キセキヒカル,2018年6月22日,Aqours,畑 亜貴,加藤達也,加藤達也,"{178, 146}","[{'event': '23', 'concert': '35', 'performance': '60'}, {'event': '23', 'concert': '35', 'performance': '59'}, {'event': '18', 'concert': '30', 'performance': '51'}, {'event': '18', 'concert': '30', 'performance': '50'}]"
190,サクラバイバイ,2018年6月22日,CYaRon！,畑 亜貴,高田 暁,高田 暁,"{152, 206}","[{'event': '114', 'concert': '156', 'performance': '246'}, {'event': '114', 'concert': '156', 'performance': '245'}, {'event': '39', 'concert': '65', 'performance': '115'}, {'event': '39', 'concert': '65', 'performance': '114'}, {'event': '28', 'concert': '53', 'performance': '98'}, {'event': '28', 'concert': '53', 'performance': '97'}]"
191,卒業ですね,2018年6月22日,AZALEA,畑 亜貴,早川博隆,TECHNOBOYS PULCRAFT GREEN-FUND,"{153, 207}","[{'event': '115', 'concert': '157', 'performance': '247'}, {'event': '109', 'concert': '149', 'performance': '234'}, {'event': '109', 'concert': '149', 'performance': '233'}, {'event': '28', 'concert': '53', 'performance': '98'}, {'event': '28', 'concert': '53', 'performance': '97'}]"
192,Guilty!? Farewell party,2018年6月22日,Guilty Kiss,畑 亜貴,YASUSHI WATANABE,YASUSHI WATANABE,"{208, 151}","[{'event': '113', 'concert': '155', 'performance': '244'}, {'event': '113', 'concert': '155', 'performance': '243'}, {'event': '39', 'concert': '64', 'performance': '113'}, {'event': '39', 'concert': '64', 'performance': '112'}, {'event': '38', 'concert': '63', 'performance': '110'}, {'event': '28', 'concert': '53', 'performance': '98'}, {'event': '28', 'concert': '53', 'performance': '97'}]"
193,ホップ・ステップ・ワーイ！,2018年6月30日,Aqours,畑 亜貴,光増ハジメ(FirstCall),光増ハジメ(FirstCall),{123},"[{'event': '109', 'concert': '149', 'performance': '234'}, {'event': '39', 'concert': '65', 'performance': '114'}, {'event': '39', 'concert': '64', 'performance': '113'}, {'event': '28', 'concert': '53', 'performance': '97'}, {'event': '22', 'concert': '48', 'performance': '88'}, {'event': '22', 'concert': '48', 'performance': '87'}, {'event': '22', 'concert': '48', 'performance': '86'}, {'event': '22', 'concert': '48', 'performance': '85'}, {'event': '22', 'concert': '47', 'performance': '84'}, {'event': '22', 'concert': '46', 'performance': '83'}, {'event': '22', 'concert': '46', 'performance': '82'}, {'event': '22', 'concert': '46', 'performance': '81'}, {'event': '22', 'concert': '45', 'performance': '80'}, {'event': '22', 'concert': '45', 'performance': '79'}, {'event': '22', 'concert': '45', 'performance': '78'}, {'event': '22', 'concert': '44', 'performance': '77'}, {'event': '22', 'concert': '44', 'performance': '76'}, {'event': '22', 'concert': '44', 'performance': '75'}, {'event': '22', 'concert': '43', 'performance': '74'}, {'event': '22', 'concert': '43', 'performance': '73'}, {'event': '22', 'concert': '42', 'performance': '72'}, {'event': '22', 'concert': '42', 'performance': '71'}, {'event': '22', 'concert': '40', 'performance': '69'}, {'event': '22', 'concert': '40', 'performance': '68'}, {'event': '22', 'concert': '40', 'performance': '67'}, {'event': '22', 'concert': '38', 'performance': '65'}, {'event': '22', 'concert': '38', 'performance': '64'}, {'event': '22', 'concert': '37', 'performance': '63'}, {'event': '22', 'concert': '37', 'performance': '62'}, {'event': '22', 'concert': '34', 'performance': '58'}, {'event': '22', 'concert': '34', 'performance': '57'}, {'event': '22', 'concert': '33', 'performance': '56'}, {'event': '22', 'concert': '33', 'performance': '55'}, {'event': '22', 'concert': '33', 'performance': '54'}, {'event': '18', 'concert': '30', 'performance': '51'}, {'event': '18', 'concert': '30', 'performance': '50'}]"
194,"Thank you, FRIENDS!!",2018年8月1日,Aqours,畑 亜貴,TAKAROT、イワツボコーダイ,TAKAROT,"{224, 124}","[{'event': '30', 'concert': '55', 'performance': '102'}, {'event': '30', 'concert': '55', 'performance': '101'}, {'event': '27', 'concert': '52', 'performance': '96'}, {'event': '27', 'concert': '52', 'performance': '95'}, {'event': '27', 'concert': '51', 'performance': '94'}, {'event': '27', 'concert': '51', 'performance': '93'}, {'event': '27', 'concert': '50', 'performance': '92'}, {'event': '27', 'concert': '50', 'performance': '91'}, {'event': '27', 'concert': '49', 'performance': '90'}, {'event': '27', 'concert': '49', 'performance': '89'}, {'event': '23', 'concert': '35', 'performance': '60'}, {'event': '23', 'concert': '35', 'performance': '59'}]"
195,No.10,2018年8月1日,Aqours,畑 亜貴,Akira Sunset,APAZZI,"{224, 124}","[{'event': '30', 'concert': '55', 'performance': '102'}, {'event': '30', 'concert': '55', 'performance': '101'}, {'event': '27', 'concert': '52', 'performance': '96'}, {'event': '27', 'concert': '52', 'performance': '95'}, {'event': '27', 'concert': '51', 'performance': '94'}, {'event': '27', 'concert': '51', 'performance': '93'}, {'event': '27', 'concert': '50', 'performance': '92'}, {'event': '27', 'concert': '50', 'performance': '91'}, {'event': '27', 'concert': '49', 'performance': '90'}, {'event': '27', 'concert': '49', 'performance': '89'}, {'event': '23', 'concert': '35', 'performance': '60'}, {'event': '23', 'concert': '35', 'performance': '59'}]"
223,TOKIMEKI Runners,2018年11月21日,虹ヶ咲学園スクールアイドル同好会（9人）,畑 亜貴,矢鴇つかさ（Arte Refact）,矢鴇つかさ（Arte Refact）,{157},"[{'event': '112', 'concert': '173', 'performance': '278'}, {'event': '112', 'concert': '173', 'performance': '277'}, {'event': '117', 'concert': '159', 'performance': '251'}, {'event': '112', 'concert': '152', 'performance': '238'}, {'event': '112', 'concert': '152', 'performance': '237'}, {'event': '94', 'concert': '124', 'performance': '185'}, {'event': '94', 'concert': '124', 'performance': '184'}, {'event': '70', 'concert': '96', 'performance': '155'}, {'event': '70', 'concert': '96', 'performance': '154'}, {'event': '72', 'concert': '98', 'performance': '158'}, {'event': '67', 'concert': '95', 'performance': '157'}, {'event': '67', 'concert': '95', 'performance': '157'}, {'event': '67', 'concert': '94', 'performance': '153'}, {'event': '67', 'concert': '94', 'performance': '152'}, {'event': '38', 'concert': '63', 'performance': '111'}, {'event': '38', 'concert': '63', 'performance': '110'}, {'event': '66', 'concert': '92', 'performance': '151'}, {'event': '66', 'concert': '92', 'performance': '151'}, {'event': '66', 'concert': '92', 'performance': '150'}, {'event': '66', 'concert': '92', 'performance': '150'}, {'event': '33', 'concert': '58', 'performance': '145'}, {'event': '29', 'concert': '54', 'performance': '100'}, {'event': '64', 'concert': '90', 'performance': '148'}, {'event': '64', 'concert': '90', 'performance': '147'}, {'event': '63', 'concert': '89', 'performance': '146'}]"
224,夢への一歩,2018年11月21日,上原歩夢,Akira Sunset,Akira Sunset,菊池博人,{157},"[{'event': '70', 'concert': '96', 'performance': '155'}, {'event': '70', 'concert': '96', 'performance': '154'}, {'event': '67', 'concert': '95', 'performance': '157'}, {'event': '67', 'concert': '94', 'performance': '153'}, {'event': '67', 'concert': '94', 'performance': '152'}, {'event': '38', 'concert': '63', 'performance': '110'}, {'event': '66', 'concert': '92', 'performance': '151'}, {'event': '66', 'concert': '92', 'performance': '150'}, {'event': '65', 'concert': '91', 'performance': '149'}, {'event': '64', 'concert': '90', 'performance': '148'}, {'event': '64', 'concert': '90', 'performance': '147'}]"
225,ダイアモンド,2018年11月21日,中須かすみ,JOE、鈴木エレカ,JOE、鈴木エレカ,tasuku,{157},"[{'event': '70', 'concert': '96', 'performance': '155'}, {'event': '70', 'concert': '96', 'performance': '154'}, {'event': '67', 'concert': '95', 'performance': '157'}, {'event': '67', 'concert': '94', 'performance': '153'}, {'event': '67', 'concert': '94', 'performance': '152'}, {'event': '38', 'concert': '63', 'performance': '111'}, {'event': '66', 'concert': '92', 'performance': '151'}, {'event': '66', 'concert': '92', 'performance': '151'}, {'event': '66', 'concert': '92', 'performance': '150'}, {'event': '64', 'concert': '90', 'performance': '148'}, {'event': '64', 'concert': '90', 'performance': '147'}]"
226,あなたの理想のヒロイン,2018年11月21日,桜坂しずく,月見草,月見草,遠藤ナオキ,{157},"[{'event': '112', 'concert': '154', 'performance': '242'}, {'event': '112', 'concert': '154', 'performance': '241'}, {'event': '70', 'concert': '96', 'performance': '155'}, {'event': '70', 'concert': '96', 'performance': '154'}, {'event': '72', 'concert': '98', 'performance': '158'}, {'event': '67', 'concert': '95', 'performance': '157'}, {'event': '67', 'concert': '94', 'performance': '153'}, {'event': '67', 'concert': '94', 'performance': '152'}, {'event': '38', 'concert': '63', 'performance': '111'}, {'event': '66', 'concert': '92', 'performance': '151'}, {'event': '66', 'concert': '92', 'performance': '150'}, {'event': '65', 'concert': '91', 'performance': '149'}, {'event': '64', 'concert': '90', 'performance': '148'}, {'event': '64', 'concert': '90', 'performance': '147'}]"
227,Starlight,2018年11月21日,朝香果林,BEATNINE,BEATNINE,BEATNINE,{157},"[{'event': '70', 'concert': '96', 'performance': '155'}, {'event': '70', 'concert': '96', 'performance': '154'}, {'event': '72', 'concert': '98', 'performance': '158'}, {'event': '67', 'concert': '95', 'performance': '157'}, {'event': '67', 'concert': '94', 'performance': '153'}, {'event': '67', 'concert': '94', 'performance': '152'}, {'event': '38', 'concert': '63', 'performance': '110'}, {'event': '66', 'concert': '92', 'performance': '151'}, {'event': '66', 'concert': '92', 'performance': '150'}, {'event': '64', 'concert': '90', 'performance': '148'}, {'event': '64', 'concert': '90', 'performance': '147'}]"
228,めっちゃGoing!!,2018年11月21日,宮下 愛,Akira Sunset,Akira Sunset、Carlos K.,Carlos K.,{157},"[{'event': '117', 'concert': '159', 'performance': '251'}, {'event': '112', 'concert': '152', 'performance': '238'}, {'event': '112', 'concert': '152', 'performance': '237'}, {'event': '70', 'concert': '96', 'performance': '155'}, {'event': '70', 'concert': '96', 'performance': '154'}, {'event': '72', 'concert': '98', 'performance': '158'}, {'event': '67', 'concert': '95', 'performance': '157'}, {'event': '67', 'concert': '94', 'performance': '153'}, {'event': '67', 'concert': '94', 'performance': '152'}, {'event': '38', 'concert': '63', 'performance': '111'}, {'event': '66', 'concert': '92', 'performance': '151'}, {'event': '66', 'concert': '92', 'performance': '150'}, {'event': '64', 'concert': '90', 'performance': '148'}, {'event': '64', 'concert': '90', 'performance': '147'}]"
229,眠れる森に行きたいな,2018年11月21日,近江彼方,Diz、Ryota Saito,Diz、Ryota Saito,Diz、Ryota Saito,{157},"[{'event': '70', 'concert': '96', 'performance': '155'}, {'event': '70', 'concert': '96', 'performance': '154'}, {'event': '67', 'concert': '95', 'performance': '157'}, {'event': '67', 'concert': '94', 'performance': '153'}, {'event': '67', 'concert': '94', 'performance': '152'}, {'event': '38', 'concert': '63', 'performance': '110'}, {'event': '66', 'concert': '92', 'performance': '151'}, {'event': '66', 'concert': '92', 'performance': '150'}, {'event': '64', 'concert': '90', 'performance': '148'}, {'event': '64', 'concert': '90', 'performance': '147'}]"
230,CHASE!,2018年11月21日,優木せつ菜,JOE、鈴木エレカ,JOE、鈴木エレカ,tasuku,{157},"[{'event': '94', 'concert': '124', 'performance': '185'}, {'event': '94', 'concert': '124', 'performance': '184'}, {'event': '70', 'concert': '96', 'performance': '155'}, {'event': '70', 'concert': '96', 'performance': '154'}, {'event': '67', 'concert': '95', 'performance': '157'}, {'event': '67', 'concert': '94', 'performance': '153'}, {'event': '67', 'concert': '94', 'performance': '152'}, {'event': '38', 'concert': '63', 'performance': '111'}, {'event': '66', 'concert': '92', 'performance': '151'}, {'event': '66', 'concert': '92', 'performance': '150'}, {'event': '66', 'concert': '92', 'performance': '150'}, {'event': '64', 'concert': '90', 'performance': '148'}, {'event': '64', 'concert': '90', 'performance': '147'}]"
231,Evergreen,2018年11月21日,エマ・ヴェルデ,Ryota Saito、近谷直之,Ryota Saito、近谷直之,Ryota Saito、近谷直之,{157},"[{'event': '70', 'concert': '96', 'performance': '155'}, {'event': '70', 'concert': '96', 'performance': '154'}, {'event': '72', 'concert': '98', 'performance': '158'}, {'event': '67', 'concert': '95', 'performance': '157'}, {'event': '67', 'concert': '94', 'performance': '153'}, {'event': '67', 'concert': '94', 'performance': '152'}, {'event': '38', 'concert': '63', 'performance': '111'}, {'event': '66', 'concert': '92', 'performance': '151'}, {'event': '66', 'concert': '92', 'performance': '150'}, {'event': '64', 'concert': '90', 'performance': '148'}, {'event': '64', 'concert': '90', 'performance': '147'}]"
232,ドキピポ☆エモーション,2018年11月21日,天王寺璃奈,NOVECHIKA、菊池博人,NOVECHIKA、菊池博人,NOVECHIKA、菊池博人,{157},"[{'event': '117', 'concert': '159', 'performance': '251'}, {'event': '70', 'concert': '96', 'performance': '155'}, {'event': '70', 'concert': '96', 'performance': '154'}, {'event': '72', 'concert': '98', 'performance': '158'}, {'event': '67', 'concert': '95', 'performance': '157'}, {'event': '67', 'concert': '94', 'performance': '153'}, {'event': '67', 'concert': '94', 'performance': '152'}, {'event': '38', 'concert': '63', 'performance': '110'}, {'event': '66', 'concert': '92', 'performance': '151'}, {'event': '66', 'concert': '92', 'performance': '150'}, {'event': '65', 'concert': '91', 'performance': '149'}, {'event': '64', 'concert': '90', 'performance': '148'}, {'event': '64', 'concert': '90', 'performance': '147'}]"
196,ハジマリロード,2018年11月24日,津島善子、国木田花丸、黒澤ルビィ,畑 亜貴,Ankle Break、FUNK UCHINO、TAKAROT,TAKAROT,"{224, 154}","[{'event': '28', 'concert': '53', 'performance': '98'}, {'event': '28', 'concert': '53', 'performance': '97'}]"
197,予測不可能Driving!,2018年11月24日,松浦果南、黒澤ダイヤ、小原鞠莉,畑 亜貴,pw.a、Tomomi Ogata,pw.a,"{224, 156}","[{'event': '28', 'concert': '53', 'performance': '98'}, {'event': '28', 'concert': '53', 'performance': '97'}]"
198,Marine Border Parasol,2018年11月24日,高海千歌、桜内梨子、渡辺 曜,畑 亜貴,Akira Sunset、ulala,高田 暁,"{224, 155}","[{'event': '28', 'concert': '53', 'performance': '98'}, {'event': '28', 'concert': '53', 'performance': '97'}]"
199,僕らの走ってきた道は…,2019年1月23日,Aqours,畑 亜貴,EFFY(FirstCall),EFFY(FirstCall),"{224, 126}","[{'event': '33', 'concert': '58', 'performance': '105'}, {'event': '30', 'concert': '55', 'performance': '102'}, {'event': '30', 'concert': '55', 'performance': '101'}, {'event': '28', 'concert': '53', 'performance': '98'}, {'event': '28', 'concert': '53', 'performance': '97'}]"
200,Next SPARKLING!!,2019年1月23日,Aqours,畑 亜貴,Carlos K.,Carlos K.,"{224, 126}","[{'event': '28', 'concert': '53', 'performance': '98'}, {'event': '28', 'concert': '53', 'performance': '97'}]"
201,逃走迷走メビウスループ,2019年1月30日,松浦果南、黒澤ダイヤ、小原鞠莉,畑 亜貴,山口朗彦,山口朗彦,"{224, 127}","[{'event': '28', 'concert': '53', 'performance': '98'}, {'event': '28', 'concert': '53', 'performance': '97'}]"
202,Hop? Stop? Nonstop!,2019年1月30日,Aqours,畑 亜貴,Kanata Okajima、Keisuke Koyama,Keisuke Koyama,"{224, 127}","[{'event': '114', 'concert': '156', 'performance': '246'}, {'event': '114', 'concert': '156', 'performance': '245'}, {'event': '30', 'concert': '55', 'performance': '102'}, {'event': '30', 'concert': '55', 'performance': '101'}, {'event': '29', 'concert': '54', 'performance': '99'}, {'event': '28', 'concert': '53', 'performance': '98'}, {'event': '28', 'concert': '53', 'performance': '97'}]"
203,Believe again,2019年2月6日,Saint Snow,畑 亜貴,河田貴央,河田貴央,{128},"[{'event': '43', 'concert': '69', 'performance': '124'}, {'event': '43', 'concert': '69', 'performance': '123'}, {'event': '43', 'concert': '68', 'performance': '120'}, {'event': '38', 'concert': '63', 'performance': '111'}, {'event': '38', 'concert': '63', 'performance': '110'}, {'event': '28', 'concert': '53', 'performance': '98'}, {'event': '28', 'concert': '53', 'performance': '97'}]"
204,Brightest Melody,2019年2月6日,Aqours,畑 亜貴,光増ハジメ(FirstCall),EFFY(FirstCall),"{128, 224}","[{'event': '113', 'concert': '155', 'performance': '243'}, {'event': '34', 'concert': '59', 'performance': '106'}, {'event': '31', 'concert': '56', 'performance': '103'}, {'event': '30', 'concert': '55', 'performance': '102'}, {'event': '30', 'concert': '55', 'performance': '101'}, {'event': '29', 'concert': '54', 'performance': '99'}, {'event': '28', 'concert': '53', 'performance': '98'}, {'event': '28', 'concert': '53', 'performance': '97'}]"
205,Over The Next Rainbow,2019年2月6日,Saint Aqours Snow,畑 亜貴,Kanata Okajima、TAKAROT,Shinji Tanaka、TAKAROT,"{128, 224}","[{'event': '43', 'concert': '69', 'performance': '124'}, {'event': '43', 'concert': '69', 'performance': '123'}, {'event': '43', 'concert': '69', 'performance': '122'}, {'event': '43', 'concert': '68', 'performance': '121'}, {'event': '43', 'concert': '68', 'performance': '120'}, {'event': '43', 'concert': '68', 'performance': '119'}, {'event': '28', 'concert': '53', 'performance': '98'}, {'event': '28', 'concert': '53', 'performance': '97'}]"
206,Jump up HIGH!!,2019年6月30日,Aqours,畑 亜貴,Kanata Okajima、KOUDAI IWATSUBO、TAKAROT,TAKAROT,{130},"[{'event': '116', 'concert': '158', 'performance': '250'}, {'event': '116', 'concert': '158', 'performance': '249'}, {'event': '109', 'concert': '149', 'performance': '234'}, {'event': '109', 'concert': '149', 'performance': '233'}, {'event': '39', 'concert': '65', 'performance': '115'}, {'event': '39', 'concert': '64', 'performance': '113'}, {'event': '39', 'concert': '64', 'performance': '112'}, {'event': '30', 'concert': '55', 'performance': '102'}, {'event': '30', 'concert': '55', 'performance': '101'}, {'event': '29', 'concert': '54', 'performance': '99'}, {'event': '28', 'concert': '53', 'performance': '98'}]"
207,"i-n-g, I TRY!!",2019年7月26日,Aqours,畑 亜貴,増田武史,増田武史,"{224, 147}",[]
208,"冒険Type A, B, C!!",2019年7月26日,Aqours,畑 亜貴,倉内達矢,倉内達矢,"{224, 167}","[{'event': '116', 'concert': '158', 'performance': '250'}, {'event': '116', 'concert': '158', 'performance': '249'}, {'event': '45', 'concert': '71', 'performance': '126'}]"
209,未体験HORIZON,2019年9月25日,Aqours,畑 亜貴,UiNA、小高光太郎,小高光太郎,"{224, 131}","[{'event': '46', 'concert': '72', 'performance': '128'}, {'event': '38', 'concert': '63', 'performance': '111'}, {'event': '38', 'concert': '63', 'performance': '110'}, {'event': '58', 'concert': '84', 'performance': '140'}, {'event': '56', 'concert': '82', 'performance': '138'}]"
210,Deep Resonance,2019年9月25日,Aqours,畑 亜貴,桑原 聖（Arte Refact）,酒井拓也（Arte Refact）,"{224, 131}","[{'event': '116', 'concert': '158', 'performance': '250'}, {'event': '116', 'concert': '158', 'performance': '249'}, {'event': '113', 'concert': '155', 'performance': '244'}, {'event': '113', 'concert': '155', 'performance': '243'}, {'event': '46', 'concert': '72', 'performance': '128'}, {'event': '42', 'concert': '67', 'performance': '118'}, {'event': '42', 'concert': '67', 'performance': '117'}]"
211,Dance with Minotaurus,2019年9月25日,Aqours,畑 亜貴,増田武史,増田武史,set(),"[{'event': '117', 'concert': '159', 'performance': '251'}, {'event': '116', 'concert': '158', 'performance': '250'}, {'event': '116', 'concert': '158', 'performance': '249'}, {'event': '114', 'concert': '156', 'performance': '246'}, {'event': '114', 'concert': '156', 'performance': '245'}, {'event': '42', 'concert': '67', 'performance': '118'}]"
